antecedents,consequents,support,confidence,lift
"conforming_loan_limit_c, debt_to_income_ratio_exempt",reverse_mortgage_1111,0.016360981658899532,0.9885196374622356,54.55079063377416
"construction_method_1, debt_to_income_ratio_exempt",reverse_mortgage_1111,0.016841010460627637,0.988262910798122,54.53662334566634
"debt_to_income_ratio_exempt, total_units_1",reverse_mortgage_1111,0.015900954057243434,0.988191423244251,54.53267835313777
"occupancy_type_1, reverse_mortgage_1111",debt_to_income_ratio_exempt,0.012380742844570674,0.9856687898089173,54.51380805760668
"debt_to_income_ratio_exempt, derived_dwelling_category_single family (1-4 units):site-built",reverse_mortgage_1111,0.016150969058143488,0.9877675840978593,54.509289075210454
"conforming_loan_limit_c, reverse_mortgage_1111",debt_to_income_ratio_exempt,0.016360981658899532,0.9855421686746987,54.50680509649216
"debt_to_income_ratio_exempt, income_bracket_High",reverse_mortgage_1111,0.0032001920115206912,0.9876543209876544,54.50303872673262
"reverse_mortgage_1111, total_units_1",debt_to_income_ratio_exempt,0.015900954057243434,0.9851301115241634,54.484015692338055
"debt_to_income_ratio_exempt, derived_race_race not available",reverse_mortgage_1111,0.00440026401584095,0.9865470852017936,54.44193666537977
"debt_to_income_ratio_exempt, state_code_other",reverse_mortgage_1111,0.010990659439566374,0.9865350089766608,54.44127024702661
"debt_to_income_ratio_exempt, state_code_tx",reverse_mortgage_1111,0.0013900834050043004,0.9858156028368794,54.40157030357115
"co_applicant_age_25-34, debt_to_income_ratio_exempt",reverse_mortgage_1111,0.001380082804968298,0.9857142857142858,54.39597918637654
"debt_to_income_ratio_exempt, loan_size_Small",reverse_mortgage_1111,0.009640578434706082,0.9856850715746421,54.39436702374987
"debt_to_income_ratio_exempt, occupancy_type_1",reverse_mortgage_1111,0.012380742844570674,0.9856687898089173,54.39346852547068
"derived_race_white, reverse_mortgage_1111",debt_to_income_ratio_exempt,0.011770706242374543,0.9832915622389307,54.38233212086263
"applicant_age_35-44, reverse_mortgage_1111",debt_to_income_ratio_exempt,0.003500210012600756,0.9831460674157303,54.374285323655165
"debt_to_income_ratio_exempt, income_bracket_Medium",reverse_mortgage_1111,0.003120187211232674,0.9842271293375394,54.3139114630121
"applicant_age_65-74, reverse_mortgage_1111",debt_to_income_ratio_exempt,0.0016300978058683521,0.9819277108433735,54.30690238831432
"co_applicant_age_55-64, debt_to_income_ratio_exempt",reverse_mortgage_1111,0.0012300738044282657,0.984,54.30137748344371
"loan_size_Small, reverse_mortgage_1111",debt_to_income_ratio_exempt,0.009640578434706082,0.9816700610997964,54.292652704431994
"applicant_age_35-44, debt_to_income_ratio_exempt",reverse_mortgage_1111,0.003500210012600756,0.9831460674157303,54.254253788724355
"derived_loan_product_type_conventional:subordinate lien, reverse_mortgage_1111",debt_to_income_ratio_exempt,0.003000180010800648,0.9803921568627451,54.22197640117994
"lien_status_2, reverse_mortgage_1111",debt_to_income_ratio_exempt,0.003000180010800648,0.9803921568627451,54.22197640117994
"applicant_age_25-34, debt_to_income_ratio_exempt",reverse_mortgage_1111,0.002230133808028482,0.9823788546255507,54.21191566745437
"income_bracket_Low, reverse_mortgage_1111",debt_to_income_ratio_exempt,0.00375022501350081,0.97911227154047,54.15119053120451
"reverse_mortgage_1111, state_code_tx",debt_to_income_ratio_exempt,0.0013900834050043004,0.9788732394366199,54.137970522248544
